,production_line,number_of_components,components,times_component_used,connection_key_category,connection_key_numeric,connection_key_date
1067,L1_S24_F750,1,T-2147483648,17,124750,124749,124751
1068,L1_S24_F752,1,T1,17,124752,124751,124753
1069,L1_S24_F754,1,T1,23637,124754,124753,124755
1070,L1_S24_F755,1,T-2147483648,17,124755,124754,124756
1071,L1_S24_F757,1,T1,17,124757,124756,124758
1072,L1_S24_F759,1,T1,23637,124759,124758,124760
1073,L1_S24_F760,1,T-2147483648,17,124760,124759,124761
1074,L1_S24_F762,1,T1,17,124762,124761,124763
1075,L1_S24_F764,1,T1,23637,124764,124763,124765
1076,L1_S24_F765,1,T-2147483648,17,124765,124764,124766
1077,L1_S24_F767,1,T1,17,124767,124766,124768
1078,L1_S24_F769,1,T1,23637,124769,124768,124770
1079,L1_S24_F770,1,T-2147483648,17,124770,124769,124771
1080,L1_S24_F771,1,T1,17,124771,124770,124772
1081,L1_S24_F773,1,T1,23546,124773,124772,124774
1082,L1_S24_F774,1,T-2147483648,17,124774,124773,124775
1083,L1_S24_F776,1,T1,17,124776,124775,124777
1084,L1_S24_F778,1,T1,23637,124778,124777,124779
1085,L1_S24_F779,1,T-2147483648,17,124779,124778,124780
1086,L1_S24_F781,1,T1,17,124781,124780,124782
1087,L1_S24_F783,1,T1,23637,124783,124782,124784
1088,L1_S24_F784,1,T-2147483648,17,124784,124783,124785
1089,L1_S24_F786,1,T1,17,124786,124785,124787
1090,L1_S24_F788,1,T1,23637,124788,124787,124789
1091,L1_S24_F789,1,T-2147483648,17,124789,124788,124790
1092,L1_S24_F791,1,T1,17,124791,124790,124792
1093,L1_S24_F793,1,T1,23637,124793,124792,124794
1094,L1_S24_F794,1,T-2147483648,17,124794,124793,124795
1095,L1_S24_F796,1,T1,17,124796,124795,124797
1096,L1_S24_F798,1,T1,23637,124798,124797,124799
1097,L1_S24_F799,1,T-2147483648,17,124799,124798,124800
1098,L1_S24_F803,1,T5,2,124803,124802,124804
1099,L1_S24_F805,1,T-2147483647,2,124805,124804,124806
1100,L1_S24_F817,1,T1,12,124817,124816,124818
1101,L1_S24_F819,1,T1,12026,124819,124818,124820
1102,L1_S24_F820,3,T1372,9,124820,124819,124821
1103,L1_S24_F820,3,T512,2,124820,124819,124821
1104,L1_S24_F820,3,T8389632,1,124820,124819,124821
1105,L1_S24_F821,1,T1,12,124821,124820,124822
1106,L1_S24_F823,1,T1,12026,124823,124822,124824
1107,L1_S24_F824,3,T1372,9,124824,124823,124825
1108,L1_S24_F824,3,T512,2,124824,124823,124825
1109,L1_S24_F824,3,T8389632,1,124824,124823,124825
1110,L1_S24_F825,1,T1,12,124825,124824,124826
1111,L1_S24_F827,1,T1,12026,124827,124826,124828
1112,L1_S24_F828,3,T1372,9,124828,124827,124829
1113,L1_S24_F828,3,T512,2,124828,124827,124829
1114,L1_S24_F828,3,T8389632,1,124828,124827,124829
1115,L1_S24_F830,1,T1,12,124830,124829,124831
1116,L1_S24_F832,1,T1,12026,124832,124831,124833
1117,L1_S24_F833,3,T1372,9,124833,124832,124834
1118,L1_S24_F833,3,T512,2,124833,124832,124834
1119,L1_S24_F833,3,T8389632,1,124833,124832,124834
1120,L1_S24_F835,1,T1,12,124835,124834,124836
1121,L1_S24_F837,1,T1,12026,124837,124836,124838
1122,L1_S24_F838,3,T1372,9,124838,124837,124839
1123,L1_S24_F838,3,T512,2,124838,124837,124839
1124,L1_S24_F838,3,T8389632,1,124838,124837,124839
1125,L1_S24_F840,1,T1,12,124840,124839,124841
1126,L1_S24_F842,1,T1,12026,124842,124841,124843
1127,L1_S24_F843,3,T1372,9,124843,124842,124844
1128,L1_S24_F843,3,T512,2,124843,124842,124844
1129,L1_S24_F843,3,T8389632,1,124843,124842,124844
1130,L1_S24_F845,1,T1,12,124845,124844,124846
1131,L1_S24_F847,1,T1,12026,124847,124846,124848
1132,L1_S24_F848,3,T1372,9,124848,124847,124849
1133,L1_S24_F848,3,T512,2,124848,124847,124849
1134,L1_S24_F848,3,T8389632,1,124848,124847,124849
1135,L1_S24_F849,1,T1,12,124849,124848,124850
1136,L1_S24_F851,1,T1,12026,124851,124850,124852
1137,L1_S24_F852,3,T1372,9,124852,124851,124853
1138,L1_S24_F852,3,T512,2,124852,124851,124853
1139,L1_S24_F852,3,T8389632,1,124852,124851,124853
1140,L1_S24_F853,1,T1,12,124853,124852,124854
1141,L1_S24_F855,1,T1,12026,124855,124854,124856
1142,L1_S24_F856,3,T1372,9,124856,124855,124857
1143,L1_S24_F856,3,T512,2,124856,124855,124857
1144,L1_S24_F856,3,T8389632,1,124856,124855,124857
1145,L1_S24_F858,1,T1,12,124858,124857,124859
1146,L1_S24_F860,1,T1,12026,124860,124859,124861
1147,L1_S24_F861,3,T1372,9,124861,124860,124862
1148,L1_S24_F861,3,T512,2,124861,124860,124862
1149,L1_S24_F861,3,T8389632,1,124861,124860,124862
1150,L1_S24_F863,1,T1,12,124863,124862,124864
1151,L1_S24_F865,1,T1,12026,124865,124864,124866
1152,L1_S24_F866,3,T1372,9,124866,124865,124867
1153,L1_S24_F866,3,T512,2,124866,124865,124867
1154,L1_S24_F866,3,T8389632,1,124866,124865,124867
1155,L1_S24_F868,1,T1,12,124868,124867,124869
1156,L1_S24_F870,1,T1,12026,124870,124869,124871
1157,L1_S24_F871,3,T1372,9,124871,124870,124872
1158,L1_S24_F871,3,T512,2,124871,124870,124872
1159,L1_S24_F871,3,T8389632,1,124871,124870,124872
1160,L1_S24_F873,1,T1,12,124873,124872,124874
1161,L1_S24_F875,1,T1,12026,124875,124874,124876
1162,L1_S24_F876,3,T1372,9,124876,124875,124877
1163,L1_S24_F876,3,T512,2,124876,124875,124877
1164,L1_S24_F876,3,T8389632,1,124876,124875,124877
1165,L1_S24_F878,1,T1,12,124878,124877,124879
1166,L1_S24_F880,1,T1,12026,124880,124879,124881
1167,L1_S24_F881,3,T1372,9,124881,124880,124882
1168,L1_S24_F881,3,T512,2,124881,124880,124882
1169,L1_S24_F881,3,T8389632,1,124881,124880,124882
1170,L1_S24_F883,1,T1,12,124883,124882,124884
1171,L1_S24_F885,1,T1,12026,124885,124884,124886
1172,L1_S24_F886,3,T1372,9,124886,124885,124887
1173,L1_S24_F886,3,T512,2,124886,124885,124887
1174,L1_S24_F886,3,T8389632,1,124886,124885,124887
1175,L1_S24_F888,1,T1,12,124888,124887,124889
1176,L1_S24_F890,1,T1,12026,124890,124889,124891
1177,L1_S24_F891,3,T1372,9,124891,124890,124892
1178,L1_S24_F891,3,T512,2,124891,124890,124892
1179,L1_S24_F891,3,T8389632,1,124891,124890,124892
1180,L1_S24_F893,1,T1,12,124893,124892,124894
1181,L1_S24_F895,1,T1,12026,124895,124894,124896
1182,L1_S24_F896,3,T1372,9,124896,124895,124897
1183,L1_S24_F896,3,T512,2,124896,124895,124897
1184,L1_S24_F896,3,T8389632,1,124896,124895,124897
1185,L1_S24_F898,1,T1,12,124898,124897,124899
1186,L1_S24_F900,1,T1,12026,124900,124899,124901
1187,L1_S24_F901,3,T1372,9,124901,124900,124902
1188,L1_S24_F901,3,T512,2,124901,124900,124902
1189,L1_S24_F901,3,T8389632,1,124901,124900,124902
1190,L1_S24_F903,1,T1,12,124903,124902,124904
1191,L1_S24_F905,1,T1,12026,124905,124904,124906
1192,L1_S24_F906,3,T1372,9,124906,124905,124907
1193,L1_S24_F906,3,T512,2,124906,124905,124907
1194,L1_S24_F906,3,T8389632,1,124906,124905,124907
1195,L1_S24_F908,1,T1,9,124908,124907,124909
1196,L1_S24_F910,1,T1,11834,124910,124909,124911
1197,L1_S24_F911,3,T512,7,124911,124910,124912
1198,L1_S24_F911,3,T262144,1,124911,124910,124912
1199,L1_S24_F911,3,T1372,1,124911,124910,124912
1200,L1_S24_F912,1,T1,9,124912,124911,124913
1201,L1_S24_F914,1,T1,11834,124914,124913,124915
1202,L1_S24_F915,3,T512,7,124915,124914,124916
1203,L1_S24_F915,3,T1372,1,124915,124914,124916
1204,L1_S24_F915,3,T262144,1,124915,124914,124916
1205,L1_S24_F916,1,T1,9,124916,124915,124917
1206,L1_S24_F918,1,T1,11834,124918,124917,124919
1207,L1_S24_F919,3,T512,7,124919,124918,124920
1208,L1_S24_F919,3,T1372,1,124919,124918,124920
1209,L1_S24_F919,3,T262144,1,124919,124918,124920
1210,L1_S24_F921,1,T1,9,124921,124920,124922
1211,L1_S24_F923,1,T1,11834,124923,124922,124924
1212,L1_S24_F924,3,T512,7,124924,124923,124925
1213,L1_S24_F924,3,T1372,1,124924,124923,124925
1214,L1_S24_F924,3,T262144,1,124924,124923,124925
1215,L1_S24_F926,1,T1,9,124926,124925,124927
1216,L1_S24_F928,1,T1,11834,124928,124927,124929
1217,L1_S24_F929,3,T512,7,124929,124928,124930
1218,L1_S24_F929,3,T1372,1,124929,124928,124930
1219,L1_S24_F929,3,T262144,1,124929,124928,124930
1220,L1_S24_F931,1,T1,9,124931,124930,124932
1221,L1_S24_F933,1,T1,11834,124933,124932,124934
1222,L1_S24_F934,3,T512,7,124934,124933,124935
1223,L1_S24_F934,3,T262144,1,124934,124933,124935
1224,L1_S24_F934,3,T1372,1,124934,124933,124935
1225,L1_S24_F936,1,T1,9,124936,124935,124937
1226,L1_S24_F938,1,T1,11834,124938,124937,124939
1227,L1_S24_F939,3,T512,7,124939,124938,124940
1228,L1_S24_F939,3,T1372,1,124939,124938,124940
1229,L1_S24_F939,3,T262144,1,124939,124938,124940
1230,L1_S24_F940,1,T1,9,124940,124939,124941
1231,L1_S24_F942,1,T1,11834,124942,124941,124943
1232,L1_S24_F943,3,T512,7,124943,124942,124944
1233,L1_S24_F943,3,T1372,1,124943,124942,124944
1234,L1_S24_F943,3,T262144,1,124943,124942,124944
1235,L1_S24_F944,1,T1,9,124944,124943,124945
1236,L1_S24_F946,1,T1,11834,124946,124945,124947
1237,L1_S24_F947,3,T512,7,124947,124946,124948
1238,L1_S24_F947,3,T1372,1,124947,124946,124948
1239,L1_S24_F947,3,T262144,1,124947,124946,124948
1240,L1_S24_F949,1,T1,9,124949,124948,124950
1241,L1_S24_F951,1,T1,11834,124951,124950,124952
1242,L1_S24_F952,3,T512,7,124952,124951,124953
1243,L1_S24_F952,3,T1372,1,124952,124951,124953
1244,L1_S24_F952,3,T262144,1,124952,124951,124953
1245,L1_S24_F954,1,T1,9,124954,124953,124955
1246,L1_S24_F956,1,T1,11834,124956,124955,124957
1247,L1_S24_F957,3,T512,7,124957,124956,124958
1248,L1_S24_F957,3,T1372,1,124957,124956,124958
1249,L1_S24_F957,3,T262144,1,124957,124956,124958
1250,L1_S24_F959,1,T1,9,124959,124958,124960
1251,L1_S24_F961,1,T1,11834,124961,124960,124962
1252,L1_S24_F962,3,T512,7,124962,124961,124963
1253,L1_S24_F962,3,T1372,1,124962,124961,124963
1254,L1_S24_F962,3,T262144,1,124962,124961,124963
1255,L1_S24_F964,1,T1,9,124964,124963,124965
1256,L1_S24_F966,1,T1,11834,124966,124965,124967
1257,L1_S24_F967,3,T512,7,124967,124966,124968
1258,L1_S24_F967,3,T1372,1,124967,124966,124968
1259,L1_S24_F967,3,T262144,1,124967,124966,124968
1260,L1_S24_F969,1,T1,9,124969,124968,124970
1261,L1_S24_F971,1,T1,11834,124971,124970,124972
1262,L1_S24_F972,3,T512,7,124972,124971,124973
1263,L1_S24_F972,3,T1372,1,124972,124971,124973
1264,L1_S24_F972,3,T262144,1,124972,124971,124973
1265,L1_S24_F974,1,T1,9,124974,124973,124975
1266,L1_S24_F976,1,T1,11834,124976,124975,124977
1267,L1_S24_F977,3,T512,7,124977,124976,124978
1268,L1_S24_F977,3,T1372,1,124977,124976,124978
1269,L1_S24_F977,3,T262144,1,124977,124976,124978
1270,L1_S24_F979,1,T1,9,124979,124978,124980
1271,L1_S24_F981,1,T1,11834,124981,124980,124982
1272,L1_S24_F982,3,T512,7,124982,124981,124983
1273,L1_S24_F982,3,T1372,1,124982,124981,124983
1274,L1_S24_F982,3,T262144,1,124982,124981,124983
1275,L1_S24_F984,1,T1,9,124984,124983,124985
1276,L1_S24_F986,1,T1,11834,124986,124985,124987
1277,L1_S24_F987,3,T512,7,124987,124986,124988
1278,L1_S24_F987,3,T1372,1,124987,124986,124988
1279,L1_S24_F987,3,T262144,1,124987,124986,124988
1280,L1_S24_F989,1,T1,9,124989,124988,124990
1281,L1_S24_F991,1,T1,11834,124991,124990,124992
1282,L1_S24_F992,3,T512,7,124992,124991,124993
1283,L1_S24_F992,3,T1372,1,124992,124991,124993
1284,L1_S24_F992,3,T262144,1,124992,124991,124993
1285,L1_S24_F994,1,T1,9,124994,124993,124995
1286,L1_S24_F996,1,T1,11834,124996,124995,124997
1287,L1_S24_F997,3,T512,7,124997,124996,124998
1288,L1_S24_F997,3,T1372,1,124997,124996,124998
1289,L1_S24_F997,3,T262144,1,124997,124996,124998
1290,L1_S24_F1017,1,T1,2,1241017,1241016,1241018
1291,L1_S24_F1019,1,T1,2,1241019,1241018,1241020
1292,L1_S24_F1020,1,T26808,2,1241020,1241019,1241021
1293,L1_S24_F1022,1,T1,2,1241022,1241021,1241023
1294,L1_S24_F1024,1,T1,2,1241024,1241023,1241025
1295,L1_S24_F1025,1,T26808,2,1241025,1241024,1241026
1296,L1_S24_F1027,1,T1,2,1241027,1241026,1241028
1297,L1_S24_F1029,1,T1,2,1241029,1241028,1241030
1298,L1_S24_F1030,1,T26808,2,1241030,1241029,1241031
1299,L1_S24_F1032,1,T1,2,1241032,1241031,1241033
1300,L1_S24_F1034,1,T1,2,1241034,1241033,1241035
1301,L1_S24_F1035,1,T26808,2,1241035,1241034,1241036
1302,L1_S24_F1037,1,T1,2,1241037,1241036,1241038
1303,L1_S24_F1039,1,T1,2,1241039,1241038,1241040
1304,L1_S24_F1040,1,T26808,2,1241040,1241039,1241041
1305,L1_S24_F1042,1,T1,2,1241042,1241041,1241043
1306,L1_S24_F1044,1,T1,2,1241044,1241043,1241045
1307,L1_S24_F1045,1,T26808,2,1241045,1241044,1241046
1308,L1_S24_F1047,1,T1,2,1241047,1241046,1241048
1309,L1_S24_F1049,1,T1,2,1241049,1241048,1241050
1310,L1_S24_F1050,1,T26808,2,1241050,1241049,1241051
1311,L1_S24_F1052,1,T1,2,1241052,1241051,1241053
1312,L1_S24_F1054,1,T1,2,1241054,1241053,1241055
1313,L1_S24_F1055,1,T26808,2,1241055,1241054,1241056
1314,L1_S24_F1057,1,T1,2,1241057,1241056,1241058
1315,L1_S24_F1059,1,T1,2,1241059,1241058,1241060
1316,L1_S24_F1060,1,T26808,2,1241060,1241059,1241061
1317,L1_S24_F1061,1,T1,33,1241061,1241060,1241062
1318,L1_S24_F1063,1,T-2147483648,33,1241063,1241062,1241064
1319,L1_S24_F1064,1,T3,23827,1241064,1241063,1241065
1320,L1_S24_F1065,1,T1,33,1241065,1241064,1241066
1321,L1_S24_F1067,1,T-2147483648,33,1241067,1241066,1241068
1322,L1_S24_F1069,1,T1,33,1241069,1241068,1241070
1323,L1_S24_F1071,1,T-2147483648,33,1241071,1241070,1241072
1324,L1_S24_F1073,1,T1,33,1241073,1241072,1241074
1325,L1_S24_F1075,1,T-2147483648,33,1241075,1241074,1241076
1326,L1_S24_F1076,1,T1,33,1241076,1241075,1241077
1327,L1_S24_F1078,1,T-2147483648,33,1241078,1241077,1241079
1328,L1_S24_F1080,1,T1,33,1241080,1241079,1241081
1329,L1_S24_F1082,1,T-2147483648,33,1241082,1241081,1241083
1330,L1_S24_F1084,1,T1,33,1241084,1241083,1241085
1331,L1_S24_F1086,1,T-2147483648,33,1241086,1241085,1241087
1332,L1_S24_F1088,1,T1,33,1241088,1241087,1241089
1333,L1_S24_F1090,1,T-2147483648,33,1241090,1241089,1241091
1334,L1_S24_F1091,1,T1,33,1241091,1241090,1241092
1335,L1_S24_F1093,1,T-2147483648,33,1241093,1241092,1241094
1336,L1_S24_F1095,1,T1,33,1241095,1241094,1241096
1337,L1_S24_F1097,1,T-2147483648,33,1241097,1241096,1241098
1338,L1_S24_F1099,1,T1,33,1241099,1241098,1241100
1339,L1_S24_F1101,1,T-2147483648,33,1241101,1241100,1241102
1340,L1_S24_F1103,1,T1,33,1241103,1241102,1241104
1341,L1_S24_F1105,1,T-2147483648,33,1241105,1241104,1241106
1342,L1_S24_F1107,1,T1,33,1241107,1241106,1241108
1343,L1_S24_F1109,1,T-2147483648,33,1241109,1241108,1241110
1344,L1_S24_F1111,1,T1,33,1241111,1241110,1241112
1345,L1_S24_F1113,1,T-2147483648,33,1241113,1241112,1241114
1346,L1_S24_F1114,5,T3,26302,1241114,1241113,1241115
1347,L1_S24_F1114,5,T2,478,1241114,1241113,1241115
1348,L1_S24_F1114,5,T4,395,1241114,1241113,1241115
1349,L1_S24_F1114,5,T5,15,1241114,1241113,1241115
1350,L1_S24_F1114,5,T1,12,1241114,1241113,1241115
1351,L1_S24_F1115,1,T1,1,1241115,1241114,1241116
1352,L1_S24_F1117,1,T4,1,1241117,1241116,1241118
1353,L1_S24_F1119,1,T1,1,1241119,1241118,1241120
1354,L1_S24_F1121,1,T4,1,1241121,1241120,1241122
1355,L1_S24_F1123,1,T1,1,1241123,1241122,1241124
1356,L1_S24_F1125,1,T4,1,1241125,1241124,1241126
1357,L1_S24_F1127,1,T1,1,1241127,1241126,1241128
1358,L1_S24_F1129,1,T4,1,1241129,1241128,1241130
1359,L1_S24_F1131,1,T1,1,1241131,1241130,1241132
1360,L1_S24_F1133,1,T4,1,1241133,1241132,1241134
1361,L1_S24_F1136,1,T1,27177,1241136,1241135,1241137
1362,L1_S24_F1137,5,T3,26227,1241137,1241136,1241138
1363,L1_S24_F1137,5,T2,512,1241137,1241136,1241138
1364,L1_S24_F1137,5,T4,411,1241137,1241136,1241138
1365,L1_S24_F1137,5,T5,16,1241137,1241136,1241138
1366,L1_S24_F1137,5,T1,11,1241137,1241136,1241138
1367,L1_S24_F1139,1,T1,27177,1241139,1241138,1241140
1368,L1_S24_F1140,5,T3,26279,1241140,1241139,1241141
1369,L1_S24_F1140,5,T2,478,1241140,1241139,1241141
1370,L1_S24_F1140,5,T4,394,1241140,1241139,1241141
1371,L1_S24_F1140,5,T5,15,1241140,1241139,1241141
1372,L1_S24_F1140,5,T1,11,1241140,1241139,1241141
1373,L1_S24_F1142,1,T1,27177,1241142,1241141,1241143
1374,L1_S24_F1144,1,T1,27177,1241144,1241143,1241145
1375,L1_S24_F1147,1,T1,27177,1241147,1241146,1241148
1376,L1_S24_F1150,1,T1,27177,1241150,1241149,1241151
1377,L1_S24_F1152,1,T1,27177,1241152,1241151,1241153
1378,L1_S24_F1154,1,T1,27177,1241154,1241153,1241155
1379,L1_S24_F1156,1,T1,26812,1241156,1241155,1241157
1380,L1_S24_F1162,1,T1,4,1241162,1241161,1241163
1381,L1_S24_F1164,1,T1,4,1241164,1241163,1241165
1382,L1_S24_F1165,1,T2,4,1241165,1241164,1241166
1383,L1_S24_F1185,1,T1,25,1241185,1241184,1241186
1384,L1_S24_F1187,1,T1,13641,1241187,1241186,1241188
1385,L1_S24_F1188,4,T1372,14,1241188,1241187,1241189
1386,L1_S24_F1188,4,T8389632,6,1241188,1241187,1241189
1387,L1_S24_F1188,4,T618624,4,1241188,1241187,1241189
1388,L1_S24_F1188,4,T83888,1,1241188,1241187,1241189
1389,L1_S24_F1189,1,T1,25,1241189,1241188,1241190
1390,L1_S24_F1191,1,T1,13641,1241191,1241190,1241192
1391,L1_S24_F1192,4,T1372,14,1241192,1241191,1241193
1392,L1_S24_F1192,4,T8389632,6,1241192,1241191,1241193
1393,L1_S24_F1192,4,T618624,4,1241192,1241191,1241193
1394,L1_S24_F1192,4,T83888,1,1241192,1241191,1241193
1395,L1_S24_F1193,1,T1,25,1241193,1241192,1241194
1396,L1_S24_F1195,1,T1,13641,1241195,1241194,1241196
1397,L1_S24_F1196,4,T1372,14,1241196,1241195,1241197
1398,L1_S24_F1196,4,T8389632,6,1241196,1241195,1241197
1399,L1_S24_F1196,4,T618624,4,1241196,1241195,1241197
1400,L1_S24_F1196,4,T83888,1,1241196,1241195,1241197
1401,L1_S24_F1198,1,T1,25,1241198,1241197,1241199
1402,L1_S24_F1200,1,T1,13641,1241200,1241199,1241201
1403,L1_S24_F1201,4,T1372,14,1241201,1241200,1241202
1404,L1_S24_F1201,4,T8389632,6,1241201,1241200,1241202
1405,L1_S24_F1201,4,T618624,4,1241201,1241200,1241202
1406,L1_S24_F1201,4,T83888,1,1241201,1241200,1241202
1407,L1_S24_F1203,1,T1,25,1241203,1241202,1241204
1408,L1_S24_F1205,1,T1,13641,1241205,1241204,1241206
1409,L1_S24_F1206,4,T1372,14,1241206,1241205,1241207
1410,L1_S24_F1206,4,T8389632,6,1241206,1241205,1241207
1411,L1_S24_F1206,4,T618624,4,1241206,1241205,1241207
1412,L1_S24_F1206,4,T83888,1,1241206,1241205,1241207
1413,L1_S24_F1208,1,T1,25,1241208,1241207,1241209
1414,L1_S24_F1210,1,T1,13641,1241210,1241209,1241211
1415,L1_S24_F1211,4,T1372,14,1241211,1241210,1241212
1416,L1_S24_F1211,4,T8389632,6,1241211,1241210,1241212
1417,L1_S24_F1211,4,T618624,4,1241211,1241210,1241212
1418,L1_S24_F1211,4,T83888,1,1241211,1241210,1241212
1419,L1_S24_F1213,1,T1,25,1241213,1241212,1241214
1420,L1_S24_F1215,1,T1,13641,1241215,1241214,1241216
1421,L1_S24_F1216,4,T1372,14,1241216,1241215,1241217
1422,L1_S24_F1216,4,T8389632,6,1241216,1241215,1241217
1423,L1_S24_F1216,4,T618624,4,1241216,1241215,1241217
1424,L1_S24_F1216,4,T83888,1,1241216,1241215,1241217
1425,L1_S24_F1217,1,T1,25,1241217,1241216,1241218
1426,L1_S24_F1219,1,T1,13641,1241219,1241218,1241220
1427,L1_S24_F1220,4,T1372,14,1241220,1241219,1241221
1428,L1_S24_F1220,4,T8389632,6,1241220,1241219,1241221
1429,L1_S24_F1220,4,T618624,4,1241220,1241219,1241221
1430,L1_S24_F1220,4,T83888,1,1241220,1241219,1241221
1431,L1_S24_F1221,1,T1,25,1241221,1241220,1241222
1432,L1_S24_F1223,1,T1,13641,1241223,1241222,1241224
1433,L1_S24_F1224,4,T1372,14,1241224,1241223,1241225
1434,L1_S24_F1224,4,T8389632,6,1241224,1241223,1241225
1435,L1_S24_F1224,4,T618624,4,1241224,1241223,1241225
1436,L1_S24_F1224,4,T83888,1,1241224,1241223,1241225
1437,L1_S24_F1226,1,T1,25,1241226,1241225,1241227
1438,L1_S24_F1228,1,T1,13641,1241228,1241227,1241229
1439,L1_S24_F1229,4,T1372,14,1241229,1241228,1241230
1440,L1_S24_F1229,4,T8389632,6,1241229,1241228,1241230
1441,L1_S24_F1229,4,T618624,4,1241229,1241228,1241230
1442,L1_S24_F1229,4,T83888,1,1241229,1241228,1241230
1443,L1_S24_F1231,1,T1,25,1241231,1241230,1241232
1444,L1_S24_F1233,1,T1,13641,1241233,1241232,1241234
1445,L1_S24_F1234,4,T1372,14,1241234,1241233,1241235
1446,L1_S24_F1234,4,T8389632,6,1241234,1241233,1241235
1447,L1_S24_F1234,4,T618624,4,1241234,1241233,1241235
1448,L1_S24_F1234,4,T83888,1,1241234,1241233,1241235
1449,L1_S24_F1236,1,T1,25,1241236,1241235,1241237
1450,L1_S24_F1238,1,T1,13641,1241238,1241237,1241239
1451,L1_S24_F1239,4,T1372,14,1241239,1241238,1241240
1452,L1_S24_F1239,4,T8389632,6,1241239,1241238,1241240
1453,L1_S24_F1239,4,T618624,4,1241239,1241238,1241240
1454,L1_S24_F1239,4,T83888,1,1241239,1241238,1241240
1455,L1_S24_F1241,1,T1,25,1241241,1241240,1241242
1456,L1_S24_F1243,1,T1,13641,1241243,1241242,1241244
1457,L1_S24_F1244,4,T1372,14,1241244,1241243,1241245
1458,L1_S24_F1244,4,T8389632,6,1241244,1241243,1241245
1459,L1_S24_F1244,4,T618624,4,1241244,1241243,1241245
1460,L1_S24_F1244,4,T83888,1,1241244,1241243,1241245
1461,L1_S24_F1246,1,T1,25,1241246,1241245,1241247
1462,L1_S24_F1248,1,T1,13641,1241248,1241247,1241249
1463,L1_S24_F1249,4,T1372,14,1241249,1241248,1241250
1464,L1_S24_F1249,4,T8389632,6,1241249,1241248,1241250
1465,L1_S24_F1249,4,T618624,4,1241249,1241248,1241250
1466,L1_S24_F1249,4,T83888,1,1241249,1241248,1241250
1467,L1_S24_F1251,1,T1,25,1241251,1241250,1241252
1468,L1_S24_F1253,1,T1,13641,1241253,1241252,1241254
1469,L1_S24_F1254,4,T1372,14,1241254,1241253,1241255
1470,L1_S24_F1254,4,T8389632,6,1241254,1241253,1241255
1471,L1_S24_F1254,4,T618624,4,1241254,1241253,1241255
1472,L1_S24_F1254,4,T83888,1,1241254,1241253,1241255
1473,L1_S24_F1256,1,T1,25,1241256,1241255,1241257
1474,L1_S24_F1258,1,T1,13641,1241258,1241257,1241259
1475,L1_S24_F1259,4,T1372,14,1241259,1241258,1241260
1476,L1_S24_F1259,4,T8389632,6,1241259,1241258,1241260
1477,L1_S24_F1259,4,T618624,4,1241259,1241258,1241260
1478,L1_S24_F1259,4,T83888,1,1241259,1241258,1241260
1479,L1_S24_F1261,1,T1,25,1241261,1241260,1241262
1480,L1_S24_F1263,1,T1,13641,1241263,1241262,1241264
1481,L1_S24_F1264,4,T1372,14,1241264,1241263,1241265
1482,L1_S24_F1264,4,T8389632,6,1241264,1241263,1241265
1483,L1_S24_F1264,4,T618624,4,1241264,1241263,1241265
1484,L1_S24_F1264,4,T83888,1,1241264,1241263,1241265
1485,L1_S24_F1266,1,T1,25,1241266,1241265,1241267
1486,L1_S24_F1268,1,T1,13641,1241268,1241267,1241269
1487,L1_S24_F1269,4,T1372,14,1241269,1241268,1241270
1488,L1_S24_F1269,4,T8389632,6,1241269,1241268,1241270
1489,L1_S24_F1269,4,T618624,4,1241269,1241268,1241270
1490,L1_S24_F1269,4,T83888,1,1241269,1241268,1241270
1491,L1_S24_F1271,1,T1,25,1241271,1241270,1241272
1492,L1_S24_F1273,1,T1,13641,1241273,1241272,1241274
1493,L1_S24_F1274,4,T1372,14,1241274,1241273,1241275
1494,L1_S24_F1274,4,T8389632,6,1241274,1241273,1241275
1495,L1_S24_F1274,4,T618624,4,1241274,1241273,1241275
1496,L1_S24_F1274,4,T83888,1,1241274,1241273,1241275
1497,L1_S24_F1276,1,T1,22,1241276,1241275,1241277
1498,L1_S24_F1278,1,T1,13563,1241278,1241277,1241279
1499,L1_S24_F1279,4,T8389632,11,1241279,1241278,1241280
1500,L1_S24_F1279,4,T1372,7,1241279,1241278,1241280
1501,L1_S24_F1279,4,T8651776,3,1241279,1241278,1241280
1502,L1_S24_F1279,4,T618624,1,1241279,1241278,1241280
1503,L1_S24_F1280,1,T1,22,1241280,1241279,1241281
1504,L1_S24_F1282,1,T1,13563,1241282,1241281,1241283
1505,L1_S24_F1283,4,T8389632,11,1241283,1241282,1241284
1506,L1_S24_F1283,4,T1372,7,1241283,1241282,1241284
1507,L1_S24_F1283,4,T8651776,3,1241283,1241282,1241284
1508,L1_S24_F1283,4,T618624,1,1241283,1241282,1241284
1509,L1_S24_F1284,1,T1,22,1241284,1241283,1241285
1510,L1_S24_F1286,1,T1,13563,1241286,1241285,1241287
1511,L1_S24_F1287,4,T8389632,11,1241287,1241286,1241288
1512,L1_S24_F1287,4,T1372,7,1241287,1241286,1241288
1513,L1_S24_F1287,4,T8651776,3,1241287,1241286,1241288
1514,L1_S24_F1287,4,T618624,1,1241287,1241286,1241288
1515,L1_S24_F1289,1,T1,22,1241289,1241288,1241290
1516,L1_S24_F1291,1,T1,13563,1241291,1241290,1241292
1517,L1_S24_F1292,4,T8389632,11,1241292,1241291,1241293
